05693         C1999 05 15.26126 13 38 33.36 +04 28 20.9          17.0  aa5409704
05693         C1999 05 15.27013 13 38 31.20 +04 28 31.1          18.4  aa5409704
05693         C1999 05 15.27312 13 38 30.46 +04 28 34.5                aa5409704
05693         C1999 05 15.28486 13 38 27.62 +04 28 49.2                aa5409704
05693         C1999 05 15.28531 13 38 27.44 +04 28 49.4                aa5409704
05693         C1999 05 15.29669 13 38 24.77 +04 29 02.9          17.4  aa5409704
05693         C1999 05 15.30848 13 38 21.93 +04 29 15.9          17.6  aa5409704
05693         C1999 05 21.87538 13 12 13.89 +06 30 00.4          16.1 Rca5409118
05693         C1999 05 21.88639 13 12 11.19 +06 30 11.6                ca5409118
05693         C1999 05 22.87703 13 08 15.02 +06 46 40.6                 a5776952
05693         C1999 05 22.87882 13 08 14.45 +06 46 43.1                 a5776952
05693         C1999 05 22.88080 13 08 13.96 +06 46 44.9                 a5776952
05693         C1999 05 23.83750 13 04 25.92 +07 02 06.3          16.4 Vza5409610
05693         C1999 05 23.84097 13 04 25.07 +07 02 09.5                za5409610
05693         C1999 05 23.84444 13 04 24.22 +07 02 12.7                za5409610
05693         C1999 05 23.84792 13 04 23.37 +07 02 15.9                za5409610
05693         C1999 05 23.85139 13 04 22.52 +07 02 19.1                za5409610
05693         C1999 05 26.16860 12 55 14.87 +07 37 31.5                za5409711
05693         C1999 05 26.17401 12 55 13.54 +07 37 36.2                za5409711
05693         C1999 05 27.18857 12 51 16.17 +07 51 59.3                za5409711
05693         C1999 05 27.19322 12 51 15.02 +07 52 03.4                za5409711
05693         C1999 06 03.87936 12 22 27.41 +09 21 33.1                ca5409118
05693         C1999 06 03.88252 12 22 26.71 +09 21 34.8                ca5409118
05693         C1999 06 07.23265 12 10 37.64 +09 50 32.8          17.2  af8078704
05693         C1999 06 07.24209 12 10 35.65 +09 50 37.0          17.5  af8078704
05693         C1999 06 07.25145 12 10 33.66 +09 50 41.2          17.5  af8078704
05693         C1999 06 07.26090 12 10 31.65 +09 50 45.2          17.5  af8078704
05693         C1999 06 07.27029 12 10 29.69 +09 50 50.0          18.1  af8078704
05693         C2000 02 10.39549 11 46 46.00 +10 41 09.7                zb1599711
05693         C2000 02 10.40433 11 46 45.12 +10 41 17.5                zb1599711
05693         C2000 02 29.26515 11 10 27.64 +15 25 49.5          17.9  cb1599704
05693         C2000 02 29.27855 11 10 25.91 +15 26 00.3          18.6  cb1599704
05693         C2000 02 29.29194 11 10 24.14 +15 26 11.8          18.3  cb1599704
05693         C2000 02 29.31081 11 10 21.70 +15 26 28.1          18.6  cb1599704
05693         C2000 02 29.32444 11 10 19.92 +15 26 40.1          18.9  cb1599704
05693         c2000 03 02.30678 11 06 07.72 +15 53 50.5          18.7 Rdb1599703
05693         c2000 03 02.32255 11 06 05.75 +15 54 02.0          18.8 Rdb1599703
05693         c2000 03 02.33828 11 06 03.61 +15 54 14.6          18.4 Rdb1599703
05693         c2000 03 02.35399 11 06 01.57 +15 54 28.1          18.7 Rdb1599703
05693         C2000 03 05.24918 10 59 55.38 +16 31 59.9          18.6  cb1599704
05693         C2000 03 05.26388 10 59 53.47 +16 32 10.6          18.5  cb1599704
05693         C2000 03 05.29084 10 59 49.97 +16 32 31.0          18.4  cb1599704
05693         C2000 03 05.30437 10 59 48.31 +16 32 40.6          18.7  cb1599704
05693         C2000 03 09.29729 10 51 33.72 +17 19 35.9          18.1  cb1599704
05693         C2000 03 09.31048 10 51 32.11 +17 19 44.9          18.6  cb1599704
05693         C2000 03 09.32369 10 51 30.42 +17 19 53.6          18.4  cb1599704
05693         C2000 03 09.33690 10 51 28.83 +17 20 02.1          18.8  cb1599704
05693         C2000 03 09.35016 10 51 27.18 +17 20 10.7          18.4  cb1599704
05693         C2000 03 10.01449 10 50 07.00 +17 27 18.7          18.1 Vdb4901049
05693         C2000 03 10.01870 10 50 06.48 +17 27 21.4          18.1 Vdb4901049
05693         C2000 03 10.02178 10 50 06.08 +17 27 23.2          18.5 Vdb4901049
05693         C2000 03 12.27462 10 45 39.18 +17 50 36.1          18.5  cb1599704
05693         C2000 03 12.28746 10 45 37.59 +17 50 43.8          18.5  cb1599704
05693         C2000 03 12.30022 10 45 36.10 +17 50 51.1          18.7  cb1599704
05693         C2000 03 12.31308 10 45 34.54 +17 50 59.1          18.7  cb1599704
05693         C2000 03 12.32599 10 45 33.03 +17 51 06.3          18.5  cb1599704
05693         c2000 04 03.20731 10 13 09.44 +19 49 55.1          19.4 Rcb3289699
05693         c2000 04 03.22168 10 13 08.69 +19 49 55.9                cb3289699
05693         c2000 04 03.23609 10 13 07.79 +19 49 56.4                cb3289699
05693         c2000 04 03.25043 10 13 06.97 +19 49 58.0                cb3289699
05693         C2002 02 19.52405 16 27 35.89 -16 19 45.6          20.3 Vdf0586291
05693         C2002 02 19.52826 16 27 36.48 -16 19 46.6          20.3 Vdf0586291
05693         C2002 02 19.53280 16 27 37.10 -16 19 47.6          20.4 Vdf0586291
05693         C2002 04 21.48867 20 12 59.65 -13 17 49.5                cf6097670
05693         C2002 04 21.48992 20 13 00.18 -13 17 49.4                cf6097670
05693         C2003 03 07.40835 12 18 47.34 +08 20 06.6          18.1 Rch4698711
05693         C2003 03 07.41670 12 18 46.45 +08 20 13.0          18.2 Rch4698711
05693         C2003 03 07.42505 12 18 45.52 +08 20 20.5          18.4 Rch4698711
05693         C2003 03 23.93034 11 47 14.82 +12 00 37.7          18.9 Vch6727240
05693         C2003 03 23.93231 11 47 14.59 +12 00 39.3          18.6 Vch6727240
05693         C2003 03 23.93618 11 47 14.15 +12 00 42.1          18.4 Vch6727240
05693         C2003 03 23.93888 11 47 13.85 +12 00 44.0          18.6 Vch6727240
05693         C2003 03 23.93978 11 47 13.73 +12 00 44.6          18.6 Vch6727240
05693         C2003 03 23.94158 11 47 13.52 +12 00 46.1          18.4 Vch6727240
05693         C2003 03 25.07682 11 45 01.16 +12 13 53.9                ch6727204
05693         C2003 03 25.07905 11 45 00.96 +12 13 54.9                ch6727204
05693         C2003 03 25.08128 11 45 00.65 +12 13 57.0          18.3 Rch6727204
05693         C2003 03 25.08351 11 45 00.38 +12 13 58.3                ch6727204
05693         C2003 03 25.08575 11 45 00.16 +12 13 59.6                ch6727204
05693         C2003 03 27.31807 11 40 43.82 +12 38 41.0          18.1  ch6727704
05693         C2003 03 27.33090 11 40 42.29 +12 38 48.9          18.5  ch6727704
05693         C2003 03 27.34397 11 40 40.79 +12 38 58.0          18.2  ch6727704
05693         C2003 03 27.36994 11 40 37.80 +12 39 14.4          18.5  ch6727704
05693         C2003 03 31.19869611 33 32.138+13 17 36.02                ~0Yyq645
05693         C2003 03 31.19952511 33 32.050+13 17 36.71                ~0Yyq645
05693         C2003 03 31.20118411 33 31.855+13 17 37.54                ~0Yyr645
05693         C2003 03 31.20201311 33 31.783+13 17 37.93                ~0Yyr645
05693         C2003 04 01.19527 11 31 44.93 +13 26 45.2          19.0 Vdh8708703
