05693         C2017 01 28.45553 08 37 44.27 +27 56 04.1          16.0 wL~26lJT05
05693         C2017 01 28.46867 08 37 41.25 +27 56 13.0          16.0 wL~26lJT05
05693         C2017 01 28.48777 08 37 36.87 +27 56 25.7          15.9 wL~26lJT05
05693         C2017 01 28.49317 08 37 35.64 +27 56 29.4          16.0 wL~26lJT05
05693         C2017 01 29.25439 08 34 52.58 +28 04 46.3          16.1 Vq~26lJ703
05693         C2017 01 29.27446 08 34 48.16 +28 04 59.2          16.1 Vq~26lJ703
05693         C2017 01 29.27898 08 34 47.15 +28 05 02.0          16.0 Vq~26lJ703
05693         C2017 01 29.28326 08 34 46.22 +28 05 04.8          16.0 Vq~26lJ703
05693         C2017 01 29.34763 08 34 33.178+28 05 48.53         16.0 wL~26lJF51
05693         C2017 01 29.35971 08 34 30.525+28 05 56.41         16.1 wL~26lJF51
05693         C2017 01 29.37174 08 34 27.880+28 06 04.35         16.0 wL~26lJF51
05693         C2017 01 29.96494 08 32 23.76 +28 11 53.3                q~26lJ046
05693         C2017 01 29.96613 08 32 23.51 +28 11 53.9                q~26lJ046
05693         C2017 01 29.96698 08 32 23.34 +28 11 54.3                q~26lJ046
05693         C2017 01 29.96764 08 32 23.19 +28 11 54.9                q~26lJ046
05693         C2017 01 29.96858 08 32 22.99 +28 11 55.3                q~26lJ046
05693         C2017 01 29.96927 08 32 22.85 +28 11 55.8                q~26lJ046
05693        7C2017 01 30.74096 08 29 48.25 +28 19 07.6          15.7 Rq~2AH3094
05693        7C2017 01 30.83130 08 29 29.87 +28 19 58.8          15.8 Rq~2AH3094
05693        7C2017 01 30.94006 08 29 07.68 +28 20 56.5          15.7 Rq~2AH3094
05693         C2017 01 30.97768 08 29 00.94 +28 21 21.1          16.0  q~26lJJ43
05693         C2017 01 30.98613 08 28 59.23 +28 21 25.5          16.0  q~26lJJ43
05693         C2017 01 30.99460 08 28 57.47 +28 21 30.1          15.9  q~26lJJ43
05693         C2017 01 31.00312 08 28 55.72 +28 21 34.6          15.8  q~26lJJ43
05693        7C2017 01 31.04353 08 28 46.80 +28 21 48.2          15.7 Rq~2AH3094
05693        7C2017 01 31.83390 08 26 16.59 +28 28 22.4          15.8 Rq~2AH3094
05693        7C2017 01 31.90576 08 26 02.59 +28 28 56.9          15.8 Rq~2AH3094
05693        7C2017 01 31.96992 08 25 50.17 +28 29 26.1          15.8 Rq~2AH3094
05693        7C2017 02 01.01829 08 25 40.87 +28 29 47.2          15.8 Rq~2AH3094
05693         C2017 02 01.23372 08 25 02.18 +28 31 30.8          16.1 Vq~26lJ703
05693         C2017 02 01.23908 08 25 01.14 +28 31 33.3          16.1 Vq~26lJ703
05693         C2017 02 01.24443 08 25 00.12 +28 31 35.7          16.0 Vq~26lJ703
05693         C2017 02 01.24980 08 24 59.09 +28 31 38.2          16.0 Vq~26lJ703
05693         C2017 02 02.02498 08 22 39.72 +28 37 05.2          15.9 Rq~2BvJW33
05693         C2017 02 02.04612 08 22 35.95 +28 37 15.2          15.8 Rq~2BvJW33
05693         C2017 02 02.06605 08 22 32.34 +28 37 24.3          15.7 Rq~2BvJW33
05693         C2017 02 04.27404 08 16 22.22 +28 50 25.3          16.2 Vq~27juG96
05693         C2017 02 04.27829 08 16 21.52 +28 50 26.6          16.3 Vq~27juG96
05693         C2017 02 04.28251 08 16 20.82 +28 50 27.9          16.3 Vq~27juG96
05693         C2017 02 04.28676 08 16 20.12 +28 50 29.1          16.3 Vq~27juG96
05693         C2017 02 05.37137 08 13 34.61 +28 55 32.6          16.3 wL~27juT05
05693         C2017 02 05.38262 08 13 32.85 +28 55 35.6          16.3 wL~27jvT05
05693         C2017 02 05.40034 08 13 30.08 +28 55 40.2          16.4 wL~27jvT05
05693         C2017 02 05.42229 08 13 26.63 +28 55 45.5          16.4 wL~27jvT05
05693         C2017 02 05.97834 08 12 05.91 +28 57 56.0          16.4  q~27jvJ43
05693         C2017 02 05.98711 08 12 04.58 +28 57 58.0          16.4  q~27jvJ43
05693         C2017 02 05.99589 08 12 03.28 +28 57 59.9          16.5  q~27jvJ43
05693         C2017 02 06.00462 08 12 01.96 +28 58 01.9          16.4  q~27jvJ43
05693         C2017 02 06.98095 08 09 46.29 +29 01 27.1          16.5  q~27jvJ43
05693         C2017 02 06.98942 08 09 45.09 +29 01 28.6          16.5  q~27jvJ43
05693         C2017 02 06.99798 08 09 43.87 +29 01 30.2          16.7  q~27jvJ43
05693         C2017 02 07.00652 08 09 42.65 +29 01 31.8          16.6  q~27jvJ43
05693        KC2017 02 10.15984708 03 15.82 +29 08 48.0          17.3 Vu~28KBH21
05693        KC2017 02 10.17904208 03 13.57 +29 08 50.0          17.0 Vu~28KBH21
05693        KC2017 02 11.04716 08 01 40.70 +29 09 57.5          16.9 Vq~281cW34
05693        KC2017 02 11.05409 08 01 39.99 +29 09 58.4          17.0 Vq~281cW34
05693        KC2017 02 11.06258 08 01 39.03 +29 09 59.2          16.9 Vq~281cW34
05693         C2017 02 13.12578307 58 17.60 +29 11 23.5          17.2 Vu~281cH21
05693         C2017 02 13.12714407 58 17.48 +29 11 23.6          17.2 Vu~281cH21
05693         C2017 02 13.12850607 58 17.34 +29 11 23.6          17.1 Vu~281cH21
05693         C2017 02 13.12986507 58 17.23 +29 11 23.8          17.2 Vu~281cH21
05693         C2017 02 13.13122607 58 17.08 +29 11 23.6          17.1 Vu~281cH21
05693         C2017 02 13.13258807 58 16.96 +29 11 23.7          17.2 Vu~281cH21
05693         C2017 02 13.13394907 58 16.83 +29 11 23.8          17.1 Vu~281cH21
05693         C2017 02 13.13530507 58 16.71 +29 11 23.8          17.2 Vu~281cH21
05693         C2017 02 13.39971 07 57 52.54 +29 11 32.9          16.8 wL~281cT05
05693         C2017 02 13.41084 07 57 51.49 +29 11 32.6          16.8 wL~281cT05
05693         C2017 02 13.41443 07 57 51.13 +29 11 32.7          16.8 wL~281cT05
05693         C2017 02 13.43055 07 57 49.62 +29 11 32.4          16.8 wL~281cT05
05693        KC2017 02 14.77999 07 55 56.92 +29 11 18.7          16.9 Vt~281c240
05693        KC2017 02 14.78363 07 55 56.65 +29 11 18.8          16.8 Vt~281c240
05693        KC2017 02 14.78727 07 55 56.36 +29 11 18.9          17.5 Vt~281c240
05693        KC2017 02 14.79891 07 55 55.38 +29 11 18.9          17.3 Vt~281c240
05693        KC2017 02 14.92392 07 55 44.83 +29 11 19.0          17.6 Rq~281c160
05693        KC2017 02 14.92555 07 55 44.69 +29 11 19.0          17.5 Rq~281c160
05693        KC2017 02 14.92717 07 55 44.55 +29 11 19.0          17.4 Rq~281c160
05693         C2017 02 15.39023 07 55 08.58 +29 11 13.9          17.2 wL~281cT08
05693         C2017 02 15.40284 07 55 07.53 +29 11 13.3          17.2 wL~281cT08
05693         C2017 02 15.41545 07 55 06.46 +29 11 12.4          17.3 wL~281cT08
05693         C2017 02 15.42764 07 55 05.51 +29 11 11.4          17.2 wL~281cT08
05693         C2017 02 15.85747 07 54 34.29 +29 10 52.9          16.8 Rq~281cZ45
05693         C2017 02 15.86458 07 54 33.73 +29 10 52.7          16.5 Rq~281cZ45
05693         C2017 02 15.86949 07 54 33.36 +29 10 52.7          16.4 Rq~281cZ45
05693        KC2017 02 15.90577 07 54 30.25 +29 10 49.8          17.2 Rq~29JK160
05693        KC2017 02 15.90736 07 54 30.11 +29 10 49.8          17.2 Rq~29JK160
05693        KC2017 02 15.90896 07 54 30.00 +29 10 49.7          16.7 Rq~29JK160
05693        KC2017 02 18.92104 07 51 16.07 +29 07 37.9          17.2 Rq~28KB160
05693        KC2017 02 18.92256 07 51 15.98 +29 07 37.7          17.2 Rq~28KB160
05693        KC2017 02 18.92407 07 51 15.91 +29 07 37.4          17.1 Rq~28KB160
05693         C2017 02 19.35068 07 50 52.64 +29 07 05.6          17.6 wL~28KBT08
05693         C2017 02 19.36254 07 50 51.97 +29 07 04.2          17.4 wL~28KBT08
05693         C2017 02 19.37471 07 50 51.20 +29 07 01.5          17.4 wL~28KBT08
05693         C2017 02 19.38667 07 50 50.57 +29 07 01.0          17.5 wL~28KBT08
05693        KC2017 02 19.90625 07 50 23.61 +29 06 05.8          17.3 Rq~28KB160
05693        KC2017 02 19.90766 07 50 23.53 +29 06 05.5          17.3 Rq~28KB160
05693        KC2017 02 19.90906 07 50 23.46 +29 06 05.2          17.2 Rq~28KB160
05693         C2017 02 21.33895 07 49 16.34 +29 03 34.7          17.6 wL~28KBT08
05693         C2017 02 21.35331 07 49 15.72 +29 03 33.0          17.6 wL~28KBT08
05693         C2017 02 21.36653 07 49 15.02 +29 03 31.2          17.6 wL~28KBT08
05693         C2017 02 21.37539 07 49 14.57 +29 03 28.8          17.9 wL~28KBT05
05693         C2017 02 21.37884 07 49 14.32 +29 03 29.3          17.4 wL~28KBT08
05693         C2017 02 21.38747 07 49 13.97 +29 03 28.5          17.9 wL~28KBT05
05693         C2017 02 21.40733 07 49 12.93 +29 03 25.5          18.0 wL~28KBT05
05693         C2017 02 21.41369 07 49 12.65 +29 03 25.0          17.9 wL~28KBT05
05693         C2017 02 21.43723 07 49 11.51 +29 03 21.3          17.9 wL~28KBT05
05693         C2017 02 23.24954 07 48 01.97 +28 59 23.9          18.0 rR~28KBG45
05693         C2017 02 23.25484 07 48 01.76 +28 59 23.2          18.0 rR~28KBG45
05693         C2017 02 23.25996 07 48 01.56 +28 59 22.6          18.0 rR~28KBG45
05693         C2017 02 23.26472 07 48 01.38 +28 59 21.6          18.1 rR~28KBG45
05693         C2017 02 23.26988 07 48 01.16 +28 59 21.0          18.1 rR~28KBG45
05693         C2017 02 23.27093 07 48 01.15 +28 59 20.7          18.0 rR~28KBG45
05693         C2017 02 23.33811 07 47 59.21 +28 59 14.6          17.7 wL~28KBT08
05693         C2017 02 23.35058 07 47 58.71 +28 59 12.9          17.5 wL~28KBT08
05693         C2017 02 23.36293 07 47 58.19 +28 59 11.0          17.7 wL~28KBT08
05693         C2017 02 23.37503 07 47 57.74 +28 59 09.9          18.0 wL~28KBT08
05693         C2017 02 24.14392 07 47 33.77 +28 57 15.3          17.9 Vq~28KBG96
05693         C2017 02 24.14815 07 47 33.62 +28 57 14.8          17.9 Vq~28KBG96
05693         C2017 02 24.15237 07 47 33.46 +28 57 14.1          17.9 Vq~28KBG96
05693         C2017 02 24.15661 07 47 33.32 +28 57 13.5          17.8 Vq~28KBG96
05693         C2017 02 24.16374 07 47 32.79 +28 57 11.8          17.9 Rq~28KBH45
05693         C2017 02 24.16564 07 47 32.75 +28 57 11.8          17.9 Rq~28KBH45
05693         C2017 02 24.16688 07 47 32.69 +28 57 11.7          17.8 Rq~28KBH45
05693         C2017 02 25.23888 07 47 02.68 +28 54 26.1          17.9 Rq~29JKH45
05693         C2017 02 25.24009 07 47 02.63 +28 54 25.8          17.8 Rq~29JKH45
05693         C2017 02 25.24146 07 47 02.60 +28 54 25.5          17.9 Rq~29JKH45
05693         C2017 02 25.24255 07 47 02.58 +28 54 25.5          17.8 Rq~29JKH45
05693         C2017 02 25.24380 07 47 02.54 +28 54 25.2          17.7 Rq~29JKH45
05693         C2017 02 25.24480 07 47 02.50 +28 54 25.0          18.1 Rq~29JKH45
05693         C2017 02 25.30622 07 47 00.86 +28 54 15.2          18.3 rR~29JKG45
05693         C2017 02 25.30628 07 47 00.86 +28 54 15.3          18.3 rR~29JKG45
05693         C2017 02 25.31104 07 47 00.74 +28 54 14.4          18.1 rR~29JKG45
05693         C2017 02 25.31110 07 47 00.73 +28 54 14.3          18.2 rR~29JKG45
05693         C2017 02 25.31809 07 47 00.52 +28 54 12.9          18.2 rR~29JKG45
05693         C2017 02 25.31836 07 47 00.52 +28 54 13.0          18.3 rR~29JKG45
05693         C2017 02 25.32186 07 47 00.43 +28 54 12.3          18.1 rR~29JKG45
05693         C2017 02 25.32338 07 47 00.39 +28 54 12.1          18.2 rR~29JKG45
05693         C2017 02 25.32679 07 47 00.29 +28 54 11.5          18.2 rR~29JKG45
05693         C2017 02 25.32831 07 47 00.24 +28 54 11.3          18.2 rR~29JKG45
05693         C2017 02 25.33162 07 47 00.14 +28 54 10.5          18.1 rR~29JKG45
05693         C2017 02 25.33297 07 47 00.11 +28 54 10.3          18.2 rR~29JKG45
05693         C2017 02 25.98966 07 46 44.82 +28 52 22.2          17.4 Rd~29JKB66
05693         C2017 02 26.06712 07 46 42.99 +28 52 07.5          17.5 Rd~29JKB66
05693         C2017 02 26.11733 07 46 42.91 +28 52 04.0          18.0 Vq~29JKG96
05693         C2017 02 26.13303 07 46 42.50 +28 52 01.4          18.1 Vq~29JKG96
05693         C2017 02 26.20503 07 46 40.54 +28 51 50.3          17.9 Vq~29JKG96
05693         C2017 02 27.17068 07 46 22.22 +28 49 04.8          18.1 Vq~29JK703
05693         C2017 02 27.17617 07 46 22.08 +28 49 03.9          18.0 Vq~29JK703
05693         C2017 02 27.18167 07 46 21.97 +28 49 02.9          18.2 Vq~29JK703
05693         C2017 02 27.18714 07 46 21.86 +28 49 02.2          18.2 Vq~29JK703
05693         C2017 03 02.17635 07 45 47.82 +28 39 45.7          18.3 Rq~29JKH45
05693         C2017 03 02.17770 07 45 47.82 +28 39 45.3          18.1 Rq~29JKH45
05693         C2017 03 02.17866 07 45 47.80 +28 39 45.1          18.2 Rq~29JKH45
05693        KC2017 03 10.87487 07 47 01.95 +28 07 54.9          17.5 Rq~2BvJ160
05693        KC2017 03 10.87696 07 47 01.95 +28 07 52.9          17.5 Rq~2BvJ160
05693        KC2017 03 10.87903 07 47 02.01 +28 07 51.8          17.6 Rq~2BvJ160
05693        KC2017 03 16.10623807 49 26.30 +27 46 09.0          18.8 Vu~2B5QH21
05693        KC2017 03 16.11018207 49 26.43 +27 46 08.0          19.1 Vu~2B5QH21
05693        KC2017 03 16.11448607 49 26.55 +27 46 06.8          19.1 Vu~2B5QH21
05693        KC2017 03 16.11814707 49 26.67 +27 46 06.0          19.1 Vu~2B5QH21
05693         C2017 03 18.13738 07 50 38.92 +27 37 17.9          19.6 Vq~2B5Q703
05693         C2017 03 18.14186 07 50 39.05 +27 37 15.9          19.2 Vq~2B5Q703
05693         C2017 03 18.14633 07 50 39.25 +27 37 14.7          19.6 Vq~2B5Q703
05693         C2017 03 18.15086 07 50 39.38 +27 37 13.5          19.3 Vq~2B5Q703
05693         C2017 03 20.15035 07 51 58.86 +27 28 16.0          19.1 Vq~2B5QG96
05693         C2017 03 20.15719 07 51 59.13 +27 28 14.1          18.8 Vq~2B5QG96
05693         C2017 03 20.15926 07 51 59.33 +27 28 14.0          19.1 Vq~2B5Q703
05693         C2017 03 20.16177 07 51 59.30 +27 28 13.0          18.9 Vq~2B5QG96
05693         C2017 03 20.16478 07 51 59.42 +27 28 12.6          19.5 Vq~2B5Q703
05693         C2017 03 20.16602 07 51 59.46 +27 28 11.8          18.9 Vq~2B5QG96
05693         C2017 03 20.17029 07 51 59.61 +27 28 11.0          19.6 Vq~2B5Q703
05693         C2017 03 20.17580 07 51 59.83 +27 28 09.4          19.6 Vq~2B5Q703
05693         C2017 03 23.15125 07 54 12.03 +27 14 24.6          19.9 Vq~2B5Q703
05693         C2017 03 23.16543 07 54 12.66 +27 14 21.1                q~2B5Q703
05693         C2017 03 23.17093 07 54 12.94 +27 14 19.8          19.8 Vq~2B5Q703
05693         C2017 04 08.28969 08 09 57.353+25 52 18.36         19.7 iL~2XQ8F51
05693         C2017 04 08.30073 08 09 58.081+25 52 14.54         19.6 iL~2XQ8F51
05693         C2017 04 08.31174 08 09 58.805+25 52 10.75         19.7 iL~2XQ8F51
05693         C2017 04 08.32275 08 09 59.526+25 52 07.04         19.8 iL~2XQ8F51
05693         C2017 04 18.16924 08 21 52.72 +24 55 49.0          19.9 Vq~2ECPG96
05693         C2017 04 18.17351 08 21 53.05 +24 55 47.5          20.0 Vq~2ECPG96
05693         C2017 04 18.17776 08 21 53.36 +24 55 45.9          19.8 Vq~2ECPG96
05693         C2017 04 18.18202 08 21 53.70 +24 55 44.2          19.8 Vq~2ECPG96
05693         C2019 03 15.42990 14 30 39.27 -05 05 40.8          19.0 GV~31SS703
05693         C2019 03 15.43520 14 30 39.07 -05 05 38.6          19.0 GV~31SS703
05693         C2019 03 15.44050 14 30 38.88 -05 05 36.0          19.0 GV~31SS703
05693         C2019 03 15.44579 14 30 38.64 -05 05 33.6          19.0 GV~31SS703
05693         C2019 03 16.10433914 30 14.04 -04 59 50.9          18.7 GV~3wU8C95
05693         C2019 03 16.10829614 30 13.80 -04 59 49.8          18.7 GV~3wU8C95
05693         C2019 03 16.11205814 30 13.74 -04 59 48.4          18.6 GV~3wU8C95
05693         C2019 03 16.11573514 30 13.62 -04 59 45.1          17.1 GV~3wU8C95
05693         C2019 03 18.32876 14 28 40.68 -04 39 31.6          18.9 GV~31SSG96
05693         C2019 03 18.33391 14 28 40.43 -04 39 28.7          18.8 GV~31SSG96
05693         C2019 03 18.33905 14 28 40.20 -04 39 26.0                V~31SSG96
05693         C2019 03 18.34419 14 28 39.93 -04 39 23.1          19.0 GV~31SSG96
05693        KC2019 03 18.37382014 28 38.29 -04 39 07.2          19.1 Vu~31IaH21
05693        KC2019 03 18.37715014 28 38.12 -04 39 05.3          19.1 Vu~31IaH21
05693        KC2019 03 18.38017914 28 37.96 -04 39 03.5          19.2 Vu~31IaH21
05693        KC2019 03 18.38320614 28 37.82 -04 39 01.8          19.1 Vu~31IaH21
05693        KC2019 03 18.38693814 28 37.65 -04 38 59.7          19.0 Vu~31IaH21
05693         C2019 03 18.51767514 28 31.82 -04 37 42.8          18.38oV~31SST08
05693         C2019 03 18.51905714 28 31.74 -04 37 41.2          18.71oV~31SST08
05693         C2019 03 18.52929114 28 31.16 -04 37 36.7          18.27oV~31SST08
05693         C2019 03 18.53748114 28 30.77 -04 37 31.4          18.60oV~31SST08
05693         C2019 03 26.51456914 20 29.73 -03 11 54.7          18.14oV~31SST08
05693         C2019 03 26.52346414 20 28.99 -03 11 49.2          18.80oV~31SST08
05693         C2019 03 26.53178414 20 28.33 -03 11 42.8          17.93oV~31SST08
05693         C2019 03 26.54057814 20 27.60 -03 11 36.6          18.83oV~31SST08
05693         C2019 03 29.40151 14 16 39.02 -02 36 18.8          18.4 GV~31SS703
05693         C2019 03 29.40677 14 16 38.54 -02 36 14.8          18.5 GV~31SS703
05693         C2019 03 29.41204 14 16 38.08 -02 36 10.9          18.2 GV~31SS703
05693         C2019 03 29.41731 14 16 37.62 -02 36 06.4          18.5 GV~31SS703
05693         C2019 03 29.42183 14 16 37.23 -02 36 03.2          18.4 GV~32AZG96
05693         C2019 03 29.42695 14 16 36.78 -02 35 59.2          18.4 GV~32AZG96
05693         C2019 03 29.43206 14 16 36.33 -02 35 55.3          18.4 GV~32AZG96
05693         C2019 03 29.43717 14 16 35.87 -02 35 51.3          18.4 GV~32AZG96
05693         C2019 03 30.50467714 15 02.89 -02 22 01.9          18.19oV~32AZT08
05693         C2019 03 30.51354414 15 02.08 -02 21 55.3          17.94oV~32AZT08
05693         C2019 03 30.52185514 15 01.30 -02 21 48.4          18.21oV~32AZT08
05693         C2019 03 30.53061714 15 00.47 -02 21 41.5          18.01oV~32AZT08
05693         C2019 04 01.29585 14 12 17.44 -01 58 15.0          18.2 GV~32AZ703
05693         C2019 04 01.30200 14 12 16.87 -01 58 09.9          18.4 GV~32AZ703
05693         C2019 04 01.30816 14 12 16.23 -01 58 05.2          18.2 GV~32AZ703
05693         C2019 04 01.31432 14 12 15.60 -01 58 00.4          18.2 GV~32AZ703
05693         C2019 04 03.50113214 08 37.07 -01 27 46.7          17.89oV~32AZT08
05693         C2019 04 03.50315614 08 36.88 -01 27 45.1          17.96oV~32AZT08
05693         C2019 04 03.51001114 08 36.13 -01 27 39.2          18.05oV~32AZT08
05693         C2019 04 03.51199114 08 35.87 -01 27 37.6          18.03oV~32AZT08
05693         C2019 04 03.51834714 08 35.22 -01 27 32.4          17.81oV~32AZT08
05693         C2019 04 03.52023614 08 35.02 -01 27 30.5          17.91oV~32AZT08
05693         C2019 04 03.52709514 08 34.26 -01 27 24.8          17.94oV~32AZT08
05693         C2019 04 03.52895914 08 34.05 -01 27 23.3          17.82oV~32AZT08
05693         C2019 04 03.79788 14 08 05.91 -01 23 37.9          18.2 Rq~32AZD29
05693         C2019 04 03.81202 14 08 04.40 -01 23 25.7          18.7 Rq~32AZD29
05693         C2019 04 05.49654114 05 03.05 -00 59 16.8          18.20cV~337mT05
05693         C2019 04 05.50593714 05 01.96 -00 59 08.6          18.14cV~337mT05
05693         C2019 04 05.51530414 05 00.91 -00 59 00.4          18.03cV~337mT05
05693         C2019 04 07.41315 14 01 24.39 -00 31 11.1          18.0 GV~337mG96
05693         C2019 04 07.41829 14 01 23.77 -00 31 06.5          17.9 GV~337mG96
05693         C2019 04 07.42345 14 01 23.14 -00 31 01.9          17.9 GV~337mG96
05693         C2019 04 07.42859 14 01 22.53 -00 30 57.3          17.9 GV~337mG96
05693         C2019 04 07.46791 14 01 18.250-00 30 20.28         18.0 wU~337mF51
05693         C2019 04 07.48039 14 01 16.730-00 30 09.10         17.9 wU~337mF51
05693         C2019 04 07.48519714 01 16.13 -00 30 04.5          17.77oV~337mT08
05693         C2019 04 07.49285 14 01 15.212-00 29 58.04         17.9 wU~337mF51
05693         C2019 04 07.49419914 01 15.02 -00 29 56.4          17.77oV~337mT08
05693         C2019 04 07.50380814 01 13.88 -00 29 48.5          17.85oV~337mT08
05693         C2019 04 07.51278414 01 12.78 -00 29 40.0          17.73oV~337mT08
05693         C2019 04 08.47872 13 59 17.896-00 15 14.20         17.9 wU~337mF51
05693         C2019 04 08.50385 13 59 14.750-00 14 51.54         18.0 wU~337mF51
05693         C2019 04 08.51643 13 59 13.176-00 14 40.22         17.9 wU~337mF51
05693         C2019 04 09.48705513 57 14.62 -00 00 01.3          18.08cV~337mT05
05693         C2019 04 09.49734213 57 13.31 +00 00 08.1          17.86cV~337mT05
05693         C2019 04 09.50688513 57 12.07 +00 00 16.6          17.64cV~337mT05
05693         C2019 04 09.51642013 57 10.85 +00 00 25.7          17.83cV~337mT05
05693         C2019 04 09.52965 13 57 09.144+00 00 37.46         17.9 wU~337mF51
05693         C2019 04 09.54147 13 57 07.630+00 00 48.23         18.0 wU~337mF51
05693         C2019 04 09.55329 13 57 06.118+00 00 58.94         17.9 wU~337mF51
05693         C2019 04 09.56513 13 57 04.606+00 01 09.73         17.9 wU~337mF51
05693         C2019 04 10.40554 13 55 19.45 +00 13 55.0          17.8 GV~337mG96
05693         C2019 04 10.40983 13 55 18.88 +00 13 59.0          17.8 GV~337mG96
05693         C2019 04 10.41412 13 55 18.33 +00 14 03.0          17.9 GV~337mG96
05693         C2019 04 10.41838 13 55 17.77 +00 14 06.9          17.9 GV~337mG96
05693         C2019 04 10.41964 13 55 18.128+00 14 09.99         17.7 wU~337mF51
05693         C2019 04 10.43270 13 55 16.407+00 14 22.09         17.7 wU~337mF51
05693         C2019 04 10.45883 13 55 12.984+00 14 45.96         17.7 wU~337mF51
05693         C2019 04 11.47987513 53 01.95 +00 30 24.9          17.77oV~337mT08
05693         C2019 04 11.48942813 53 00.67 +00 30 33.7          17.58oV~337mT08
05693         C2019 04 11.49843813 52 59.46 +00 30 42.0          17.51oV~337mT08
05693        KC2019 04 13.54027 13 48 29.00 +01 02 26.3          17.6 Rq~34E1E89
05693        KC2019 04 13.54718 13 48 28.05 +01 02 32.9          17.5 Rq~34E1E89
05693         C2019 04 14.30654 13 46 44.82 +01 14 06.1          17.8 GV~34ew703
05693         C2019 04 14.31189 13 46 44.07 +01 14 11.3          17.8 GV~34ew703
05693         C2019 04 14.31723 13 46 43.31 +01 14 16.3          17.7 GV~34ew703
05693         C2019 04 14.32258 13 46 42.55 +01 14 21.0          17.7 GV~34ew703
05693         C2019 04 14.76063 13 45 42.65 +01 21 11.1          17.7 Vq~34E1C97
05693         C2019 04 14.76215 13 45 42.51 +01 21 12.6          18.0 Vq~34E1C97
05693         C2019 04 14.76367 13 45 42.27 +01 21 14.4          17.8 Vq~34E1C97
05693         C2019 04 14.76518 13 45 42.04 +01 21 15.4          17.7 Vq~34E1C97
05693         C2019 04 15.46176813 44 04.71 +01 32 06.1          17.51oV~34E1T08
05693         C2019 04 15.47054413 44 03.44 +01 32 13.7          17.61oV~34E1T08
05693         C2019 04 15.47883313 44 02.26 +01 32 21.7          17.57oV~34E1T08
05693         C2019 04 15.48770613 44 00.96 +01 32 30.1          17.50oV~34E1T08
05693         C2019 04 16.74499 13 41 04.07 +01 52 00.9          17.7 Vq~34E1C97
05693         C2019 04 16.74651 13 41 03.76 +01 52 02.4          18.1 Vq~34E1C97
05693         C2019 04 16.74802 13 41 03.63 +01 52 03.8          17.7 Vq~34E1C97
05693         C2019 04 16.74954 13 41 03.35 +01 52 05.1          18.1 Vq~34E1C97
05693         C2019 04 17.43772213 39 24.42 +02 02 45.5          17.32oV~34E1T05
05693         C2019 04 17.44756313 39 23.00 +02 02 54.7          17.06oV~4aKuT05
05693         C2019 04 17.45864613 39 21.31 +02 03 05.2          17.42oV~34E1T05
05693         C2019 04 17.46874213 39 19.86 +02 03 14.0          17.68oV~4aKuT05
05693         C2019 04 23.44400813 24 32.82 +03 33 52.6          17.45oV~34ewT08
05693         C2019 04 23.45330813 24 31.36 +03 34 01.0          17.54oV~34ewT08
05693         C2019 04 23.46287013 24 29.87 +03 34 09.3          17.45oV~34ewT08
05693         C2019 04 23.47185613 24 28.46 +03 34 17.0          17.45oV~34ewT08
05693        KC2019 04 24.49384 13 21 53.25 +03 49 23.3          17.7 Rq~34ewE89
05693        KC2019 04 24.50611 13 21 51.33 +03 49 34.0          17.4 Rq~34ewE89
05693         C2019 04 26.31553 13 17 15.01 +04 15 05.7          17.5 GV~355r703
05693         C2019 04 26.32084 13 17 14.16 +04 15 10.1          17.4 GV~355r703
05693         C2019 04 26.32615 13 17 13.38 +04 15 14.2          17.3 GV~4u7x703
05693         C2019 04 26.33146 13 17 12.49 +04 15 18.8          17.7 GV~355r703
05693         C2019 04 26.80444 13 16 00.95 +04 21 51.9          17.5 GV~355rL39
05693         C2019 04 26.82337 13 15 57.96 +04 22 07.5          17.6 GV~355rL39
05693         C2019 04 27.42385813 14 25.66 +04 30 28.5          17.62oV~355rT08
05693         C2019 04 27.43264213 14 24.27 +04 30 35.5          17.59oV~355rT08
05693         C2019 04 27.44088213 14 22.97 +04 30 42.1          17.52oV~355rT08
05693         C2019 04 27.44979513 14 21.55 +04 30 49.8          17.50oV~355rT08
05693         C2019 04 29.29657 13 09 40.19 +04 55 28.7          17.8 GV~4u7x703
05693         C2019 04 29.30225 13 09 39.27 +04 55 33.1          17.7 GV~355r703
05693         C2019 04 29.30794 13 09 38.41 +04 55 37.5          17.6 GV~355r703
05693         C2019 04 29.31362 13 09 37.49 +04 55 42.0          17.7 GV~355r703
05693         C2019 04 29.32579 13 09 35.61 +04 55 51.3          17.9 GV~355rG96
05693         C2019 04 29.33140 13 09 34.74 +04 55 55.8          17.8 GV~355rG96
05693         C2019 04 29.33701 13 09 33.87 +04 56 00.2          17.9 GV~355rG96
05693         C2019 05 01.42014813 04 19.18 +05 22 27.0          17.61oV~4aKuT08
05693         C2019 05 01.42897813 04 17.79 +05 22 33.7          17.62oV~355rT08
05693         C2019 05 01.43826913 04 16.37 +05 22 40.5          17.63oV~4aKuT08
05693         C2019 05 01.44695013 04 15.02 +05 22 46.8          17.77oV~355rT08
05693         C2019 05 01.58855 13 03 54.25 +05 24 28.2          17.7 Rq~355rD29
05693         C2019 05 01.60093 13 03 52.34 +05 24 37.3          17.8 Rq~355rD29
05693         C2019 05 01.61330 13 03 50.42 +05 24 46.4          17.8 Rq~355rD29
