cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
251,1.758009,167.796026,8.0904919000E+01,-6.0037770000E+00,80.9050228,-6.0042543,0.2760,0.3696,-0.1115,15.333,0.144,7.5,1.395E+00,13.905,0.112,9.7,1.504E+00,1,0,0000,BB,10,57444.02912635,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
252,1.906786,173.444805,8.0904956000E+01,-6.0037310000E+00,80.9050168,-6.0042572,0.3768,0.4474,-0.1657,15.685,0.161,6.7,1.308E+00,14.135,0.172,6.3,8.939E-01,1,0,0000,BB,10,57444.02925367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
254,0.489562,-150.793034,8.0964635000E+01,-5.8033810000E+00,80.9645683,-5.8034997,0.7734,0.6992,-0.1605,16.981,0.517,2.1,7.365E-01,14.463,0.206,5.3,7.261E-01,1,0,0000,CB,10,57444.29144309,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
255,0.197936,54.022919,3.0232126300E+02,-4.6966097000E+01,302.3213282,-46.9660647,0.1521,0.1744,-0.0791,14.749,0.083,13.1,9.611E-01,12.494,0.067,16.1,1.112E+00,1,0,0000,AA,10,57671.18932969,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
256,0.641615,112.672700,3.0243024000E+02,-4.6992299000E+01,302.4304811,-46.9923677,0.2335,0.2025,-0.0778,14.968,0.098,11.1,1.252E+00,12.830,0.081,13.4,5.469E-01,1,0,0000,AA,10,57671.25478160,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
264,1.381523,83.416278,1.1646113700E+02,-1.8920524000E+01,116.4615400,-18.9204800,0.1157,0.1202,-0.0340,16.622,null,-30.5,3.704E+01,15.157,null,-7.8,6.071E+00,1,0,DD00,UU,5,59512.06742561,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
273,2.302086,-0.838177,1.1666289100E+02,-1.9110821000E+01,116.6628811,-19.1101816,1.4942,1.6543,-0.6054,16.800,0.512,2.1,1.207E+00,14.652,null,1.0,1.030E+00,1,0,0000,CU,5,59512.59027470,1168019701351061121,16.535,0.076,16.324,0.216,12.497,null,9.273,null,null,null,null,null,null,null,null
275,0.325914,128.696516,1.1671303600E+02,-1.9158397000E+01,116.7131108,-19.1584536,0.1631,0.1910,-0.0745,14.014,0.062,17.5,1.597E+00,14.032,0.182,6.0,7.318E-01,1,0,0000,AB,5,59512.72092337,1168019701351059907,14.002,0.027,14.152,0.037,12.674,0.524,9.233,null,269485435,14.570,0.0490,14.314,0.0738,14.328,0.1002
281,2.235040,47.304067,1.1683800000E+02,-1.9277367000E+01,116.8384834,-19.2769460,0.9112,0.9911,-0.1578,16.424,0.399,2.7,4.521E-01,14.849,0.441,2.5,6.655E-01,1,0,0000,CC,0,59513.04767228,1168019701351048860,15.914,0.051,16.024,0.158,12.049,null,9.136,null,null,null,null,null,null,null,null
285,2.985763,-21.380715,1.1698713400E+02,-1.9420170000E+01,116.9868134,-19.4193977,0.2594,0.2974,0.0674,14.716,0.099,10.9,2.121E+00,14.343,null,2.0,8.523E-01,1,0,0000,AU,5,59513.43987288,1168019701351050479,14.738,0.029,15.040,0.063,12.209,null,9.167,null,269554292,15.333,0.0388,14.829,0.0458,14.920,0.1311
306,4.241468,90.608122,1.1881327700E+02,-2.1253982000E+01,118.8145411,-21.2539945,0.1528,0.1600,0.0284,13.847,0.067,16.1,1.267E+01,14.489,0.229,4.7,2.422E+00,1,0,0000,AB,10,59518.47239288,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
307,1.576728,-92.695936,1.1883563400E+02,-2.1277734000E+01,118.8351645,-21.2777546,0.1751,0.1887,-0.0515,14.268,0.061,17.9,7.697E-01,14.426,0.226,4.8,4.618E-01,1,0,0000,AB,10,59518.53720779,1194021301351038237,14.380,0.027,14.548,0.045,12.646,null,9.098,null,270057688,14.628,0.0373,14.416,0.0407,14.390,0.0844
312,2.418117,-19.131695,1.1892604000E+02,-2.1373041000E+01,118.9258036,-21.3724064,0.4354,0.5120,-0.1098,15.618,0.159,6.8,1.180E+00,14.869,0.297,3.7,9.160E-01,1,0,0000,BB,5,59518.79914170,1194021301351014978,15.513,0.035,15.570,0.088,12.518,null,8.622,null,null,null,null,null,null,null,null
318,4.762671,-28.340297,1.1914936800E+02,-2.1611110000E+01,119.1486925,-21.6099456,0.1222,0.1450,-0.0600,17.100,null,-1.4,2.189E+00,11.959,0.052,20.9,1.962E+01,1,0,0000,UA,10,59519.45263944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
