cntr_u,dist_x,pang_x,ra_u,dec_u,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
39,1.045363,37.426343,2.2154596100E+02,-1.5231863000E+01,221.5461439,-15.2316324,0.6108,0.6758,-0.2833,16.055,0.234,4.6,9.914E-01,14.475,0.286,3.8,8.431E-01,1,0,0000,BB,10,57055.61211628,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
41,0.755327,42.617279,2.2171723200E+02,-1.5180002000E+01,221.7173792,-15.1798476,0.3369,0.3880,0.0448,15.390,0.173,6.3,6.972E-01,13.792,0.123,8.9,9.065E-01,1,0,0000,BB,10,57055.74340186,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
44,0.530351,130.409812,2.2188895900E+02,-1.5127688000E+01,221.8890752,-15.1277835,0.6644,0.7172,-0.2687,16.266,0.312,3.5,7.046E-01,14.508,0.263,4.1,5.692E-01,1,0,0000,BB,10,57055.87481480,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45,0.824295,-43.750107,2.2197492700E+02,-1.5101402000E+01,221.9747630,-15.1012366,0.5414,0.7434,-0.2957,16.154,0.392,2.8,1.049E+00,14.181,0.208,5.2,6.629E-01,1,0,0000,CB,10,57055.94052127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
46,1.171983,-173.887586,2.2206096500E+02,-1.5075028000E+01,222.0609291,-15.0753517,0.7242,0.8364,-0.2759,16.296,0.321,3.4,1.660E+00,14.557,0.297,3.7,5.669E-01,1,0,0000,BB,10,57056.00622774,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47,0.544205,-74.577857,2.2214689600E+02,-1.5048679000E+01,222.1467451,-15.0486388,0.7180,0.8403,0.2977,15.868,0.226,4.8,7.831E-01,null,null,null,null,1,0,0000,BX,10,57056.07180690,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
48,0.714793,106.924172,2.2214707200E+02,-1.5048569000E+01,222.1472687,-15.0486268,0.6365,0.6870,0.2061,16.228,0.311,3.5,1.277E+00,14.346,0.261,4.2,8.739E-01,1,0,0000,BB,10,57056.07193421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49,0.447574,-122.554461,2.2223307300E+02,-1.5022134000E+01,222.2329645,-15.0222009,0.3615,0.4024,0.0601,15.608,0.177,6.1,8.849E-01,13.769,0.127,8.5,9.780E-01,1,0,0000,BB,10,57056.13751337,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50,0.991523,0.743515,2.2231932000E+02,-1.4995501000E+01,222.3193237,-14.9952256,0.5595,0.6847,0.1628,15.881,null,1.5,1.410E+00,14.062,0.181,6.0,8.899E-01,1,0,0000,UB,10,57056.20321975,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
51,0.771509,5.276377,2.2240563600E+02,-1.4968782000E+01,222.4056564,-14.9685686,0.4098,0.4542,-0.1057,15.987,0.229,4.7,1.007E+00,13.816,0.133,8.2,7.772E-01,1,0,0000,BB,10,57056.26892622,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
52,2.415406,-164.232513,2.2249202300E+02,-1.4941975000E+01,222.4918343,-14.9426207,0.7477,0.9315,0.1524,16.393,0.336,3.2,9.803E-01,14.897,0.351,3.1,5.273E-01,1,0,0000,BB,10,57056.33463264,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
53,1.852071,-98.168846,2.2257847800E+02,-1.4915083000E+01,222.5779510,-14.9151561,0.0207,0.0325,-0.0183,16.366,null,-141.6,1.617E+02,14.235,0.224,4.8,4.577E-01,1,0,0000,UB,10,57056.40033911,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
54,1.044327,24.295132,2.2266482500E+02,-1.4888215000E+01,222.6649485,-14.8879506,0.5514,0.5525,-0.1387,16.620,0.503,2.2,1.347E+00,13.924,0.152,7.1,6.250E-01,1,0,0000,CB,10,57056.46591826,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
55,0.593724,177.783527,2.2266500300E+02,-1.4888103000E+01,222.6650096,-14.8882678,0.3498,0.4654,0.0588,15.976,0.228,4.8,1.237E+00,13.512,0.198,5.5,7.049E-01,1,0,0000,BB,10,57056.46604558,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
56,1.101095,-16.542479,2.2275142000E+02,-1.4861148000E+01,222.7513299,-14.8608548,0.4158,0.4761,-0.0801,15.764,0.203,5.3,8.923E-01,13.838,0.142,7.7,7.162E-01,1,0,0000,BB,10,57056.53162468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
57,0.426599,-105.015038,2.2283808300E+02,-1.4833995000E+01,222.8379646,-14.8340257,0.4867,0.6014,-0.1616,16.251,0.300,3.6,5.635E-01,13.997,0.167,6.5,5.204E-01,1,0,0000,BB,10,57056.59733115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
58,0.149798,113.062083,2.2292481500E+02,-1.4806755000E+01,222.9248546,-14.8067713,0.5269,0.5575,-0.0229,16.179,0.315,3.4,8.893E-01,13.919,0.159,6.8,7.392E-01,1,0,0000,BB,10,57056.66303752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
59,1.291547,71.371540,2.2301161800E+02,-1.4779426000E+01,223.0119696,-14.7793114,0.4659,0.5447,0.1300,15.761,0.186,5.8,1.511E+00,14.689,0.267,4.1,7.271E-01,1,0,0000,BB,10,57056.72874399,2222015201351048737,17.076,0.141,16.540,0.359,12.737,null,8.575,null,null,null,null,null,null,null,null
61,4.175191,-35.762223,2.2309849000E+02,-1.4752011000E+01,223.0977891,-14.7510699,0.9285,1.0233,0.2698,16.895,null,-0.3,9.584E-01,14.504,0.357,3.0,9.094E-01,1,0,0000,UC,10,57056.79445046,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
62,0.395300,-10.967444,2.2318525200E+02,-1.4724622000E+01,223.1852304,-14.7245142,0.7434,0.8052,-0.2976,16.495,null,0.4,5.252E-01,14.181,0.222,4.9,5.099E-01,1,0,0000,UB,10,57056.86002962,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
